Start,End,Title,PI,Organization,Suborg,Mechanism,Grantno,YearlyDC,,
09/16/16,08/31/21,Resource for Quantitative Functional FMRI,Van Zijl,NIH,NIBIB,P41,110156-0817-03B,"$55,669",Sub,KKI
01/01/17,06/30/19,Large-scale Network Modeling for Brain Dynamics: Statistical Learning and Optimization,Luo,NIH,NIBIB,R01,EB022911,"$39,755",Sub,Brown
12/01/17,11/30/22,Molecular Imaging of Brain Injury and Repair in NFL Players,Coughlin,NIH,NINDS,R01,NS100847,"$410,545",,
03/01/18,02/28/23,Neural Bases of Recovery of Language in the First Year after Stroke,Hillis,NIH,NIDCD,R01,DC005375,"$378,285",,
04/01/18,03/31/20,Effects of tDCS on Spoken and Written Production in Primary Progressive Aphasia,Tsapkini,NIH,NIDCD,R01,DC014475,"$457,206",,
04/01/18,03/31/23,Continued Development and Maintenance of MRI Studio,Mori,NIH,NINDS,R01,NS084957,"$269,733",,
07/01/18,06/30/23,Individualized Spatial Topology in Functional Neuroimaging,Lindquist,NIH,NIBIB,R01,EB026549,"$620,568",,
07/01/18,01/31/19,Subtle Motor Functioning and Functional Connectivity in Youth Medically Cleared after Mild TBI,Suskauer,NIH,,R01,HD090266,"$7,850",Sub,KKI
07/01/15,06/30/19,Adolescent Changes in Brain and Behavior in Boys and Girls with ADHD,Mostofsky,NIH,NIMH,R01,MH085328,"$5,112",,
04/01/19,03/31/21,A Unified Framework for Multimodal Neuroimaging Integration within a Heterogeneous Patient Cohort,Venkataraman,NIH,NIMH,R21,MH119363,"$155,623",,
04/01/19,03/31/24,Imaging Nicotinic Cholinergic Neuropathology in Mild Cognitive Impairment,Coughlin,NIH,NIA,R01,AG062558,"$472,878",,
04/01/19,03/31/24,Imaging the alpha7 nicotinic receptor in recent onset of psychosis,Coughlin,NIH,NIMH,R01,MH116893,"$448,806",,
12/01/18,11/30/23,Molecular Mechanism and Systems Neuroscience of Psilocybin,Barrett,NIH,NIMH,R01,MH118907,"$470,914",,
07/01/19,06/30/23,Data Center for Acute to Chronic Pain Biosignatures,Lindquist,NIH,,U54,DA049110,"$6,071,196",,
07/01/20,06/30/25,Statistical Methods for structural and functional integration in multi-modal neuroimaging data,Caffo,NIH,NIBIB,R01,EB029977,"$250,000",,
07/01/20,06/30/25,Transcranial direct current stimulation in typical and atypical Alzheimer’s Disease,Tsapkini,NIH,NIA,R01,AG068881,"$499,994",,
07/01/20,06/30/25,Optimization of electrical stimulation approaches in three Primary Progressive Aphasia variants,Tsapkini,NIH,NIDOD,R01,DC014475,"$499,999",,
07/01/21,04/30/26,"MRI Resource for Physiologic, Metabolic and Anatomic Biomarkers",VanZijl,NIH,NIBIB,P41,EB031771,"$663,345",,
08/01/20,07/31/21,A Novel Framework For Impaired Limitations In ASD,Egeth,NIH,,R01,MH113652,,,
02/2022,01/2027,Precision medicine for neonatal hypoxic-ischemic encephalopathy,Oishi,NIH,NINDS,R01,NS126549,"$2,061,842",,
06/2022,03/2026,Center for Community Health: Addressing Regional Maryland Environmental Determinants of Disease,Wills-Karp,NIH,NIEHS,P30,ES032756,"$5,575,122",,
09/2022,08/2027,Cerebellar stimulation for Aphasia Rehabilitation,Sebastian,NIH,NIDCD,R01,DC019639,"$3,729,751",,
09/2022,06/2027,High-dimensional Modeling of PET for Radiomic Biomarker Discovery,Eloyan,NIH,NIA,R01,AG075511,"$492,507",,
09/2022,06/2027,Statistical Methods for Longitudinal Integrated Mechanistic Modeling of Multiview Data,Zhao,NIH,NHLBI,R01,NS126549,"$500,000",,
08/2023,06/2028,Development and Translation of D-Glucose as a Diagnostic Agent for MRI of Cancer,Van Zijl,NIH,NIBIB,R01,EB034978,"$4,093,581",,


