Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Mejia, A.F., Bolin, D., Yue, Y.R., Wang, J., Caffo, B.S., Nebel, M.B.","56215449300;36146882600;35732830500;57219765944;35069047000;34873055300;","Template Independent Component Analysis with Spatial Priors for Accurate Subject-Level Brain Network Estimation and Inference",2022,"Journal of Computational and Graphical Statistics",,,,"","",,,"10.1080/10618600.2022.2104289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139134280&doi=10.1080%2f10618600.2022.2104289&partnerID=40&md5=bdc1970a3a3e977b3f32c059adc5097a",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85139134280
"Bu, X., Gao, Y., Liang, K., Bao, W., Chen, Y., Guo, L., Gong, Q., Lu, H., Caffo, B., Mori, S., Huang, X.","57204090585;57204085573;57216374789;57224104334;56706872700;7403156762;57665246100;8386439700;35069047000;35418783800;18233263300;","Multivariate associations between behavioural dimensions and white matter across children and adolescents with and without attention-deficit/hyperactivity disorder",2022,"Journal of Child Psychology and Psychiatry and Allied Disciplines",,,,"","",,,"10.1111/jcpp.13689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136505358&doi=10.1111%2fjcpp.13689&partnerID=40&md5=689be4b8d45707df9e6ca6f105b11b5c",Article,"Article in Press","All Open Access, Hybrid Gold",Scopus,2-s2.0-85136505358
"Langenecker, S.A., Westlund Schreiner, M., Thomas, L.R., Bessette, K.L., DelDonno, S.R., Jenkins, L.M., Easter, R.E., Stange, J.P., Pocius, S.L., Dillahunt, A., Love, T.M., Phan, K.L., Koppelmans, V., Paulus, M., Lindquist, M.A., Caffo, B., Mickey, B.J., Welsh, R.C.","6603182034;56433619800;57221530009;55923177600;55199813200;35105075400;57193512776;34880711800;57211293654;57223096947;24492034900;7006373266;24343867800;57203028544;7007030971;35069047000;6701694271;55215412900;","Using Network Parcels and Resting-State Networks to Estimate Correlates of Mood Disorder and Related Research Domain Criteria Constructs of Reward Responsiveness and Inhibitory Control",2022,"Biological Psychiatry: Cognitive Neuroscience and Neuroimaging","7","1",,"76","84",,1,"10.1016/j.bpsc.2021.06.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122185517&doi=10.1016%2fj.bpsc.2021.06.014&partnerID=40&md5=f6e933be4c50e2d5765a4486312a1b2c",Article,"Final","",Scopus,2-s2.0-85122185517
"Breining, B.L., Faria, A.V., Caffo, B., Meier, E.L., Sheppard, S.M., Sebastian, R., Tippett, D.C., Hillis, A.E.","56401203400;35478593200;35069047000;56711675900;56706949500;43061369500;6701637595;7004956247;","Neural regions underlying object and action naming: complementary evidence from acute stroke and primary progressive aphasia",2022,"Aphasiology","36","6",,"732","760",,6,"10.1080/02687038.2021.1907291","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106044637&doi=10.1080%2f02687038.2021.1907291&partnerID=40&md5=d1eb5b2e1aa89de7ec27e406cbf89e9f",Article,"Final","",Scopus,2-s2.0-85106044637
"Wang, B., Luo, X., Zhao, Y., Caffo, B.","57208720329;56639732500;57202332071;35069047000;","Semiparametric partial common principal component analysis for covariance matrices",2021,"Biometrics","77","4",,"1175","1186",,,"10.1111/biom.13369","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092266645&doi=10.1111%2fbiom.13369&partnerID=40&md5=fc3203a6ed8166bf694974afd9370a8d",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85092266645
"Beheshtian, E., Jalilianhasanpour, R., Shanechi, A.M., Sethi, V., Wang, G., Lindquist, M.A., Caffo, B.S., Agarwal, S., Pillai, J.J., Gujar, S.K., Sair, H.I.","57204441866;57222219854;56731130200;57192092798;57222288473;7007030971;35069047000;7403190459;7004264827;6507795849;14519858700;","Identification of the somatomotor network from language task-based fMRI compared with resting-state fMRI in patients with brain lesions",2021,"Radiology","301","1",,"178","184",,2,"10.1148/radiol.2021204594","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115754975&doi=10.1148%2fradiol.2021204594&partnerID=40&md5=1bed1193f6c6cf973e024bc260e15416",Article,"Final","",Scopus,2-s2.0-85115754975
"Gill, R.E., Tang, B., Smegal, L., Adamek, J.H., McAuliffe, D., Lakshmanan, B.M., Srivastava, S., Quain, A.M., Sebold, A.J., Lin, D.D.M., Kossoff, E.H., Caffo, B., Comi, A.M., Ewen, J.B.","57204598364;57231057500;57220861410;57212586680;57110108700;14619169100;36601460000;49861933800;57217870386;7403692670;7003881941;35069047000;6602628848;14007607000;","Quantitative EEG improves prediction of Sturge-Weber syndrome in infants with port-wine birthmark",2021,"Clinical Neurophysiology","132","10",,"2440","2446",,,"10.1016/j.clinph.2021.06.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113410575&doi=10.1016%2fj.clinph.2021.06.030&partnerID=40&md5=92fa98b39999775d31273ed715fe75c8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85113410575
"Bridgeford, E.W., Wang, S., Wang, Z., Xu, T., Craddock, C., Dey, J., Kiar, G., Gray-Roncal, W., Colantuoni, C., Douville, C., Noble, S., Priebe, C.E., Caffo, B., Milham, M., Zuo, X.-N., Vogelstein, J.T.","57148119100;57219542780;57202333724;35996035600;57218316249;57219644729;55682725800;55984245100;6603123480;55616776300;57192168434;7006049217;35069047000;6701672014;35091653400;15761214600;","Eliminating accidental deviations to minimize generalization error and maximize replicability: Applications in connectomics and genomics",2021,"PLoS Computational Biology","17","9","e1009279","","",,2,"10.1371/journal.pcbi.1009279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115234007&doi=10.1371%2fjournal.pcbi.1009279&partnerID=40&md5=0b803fe9fed85ce7fafe7c9dd45231f3",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85115234007
"Zhao, Y., Li, L., Caffo, B.S.","57202332071;55540800600;35069047000;","Multimodal neuroimaging data integration and pathway analysis",2021,"Biometrics","77","3",,"879","889",,2,"10.1111/biom.13351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089689254&doi=10.1111%2fbiom.13351&partnerID=40&md5=3906e8d95af2e9e6b05f7e652573f521",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85089689254
"Al Ammary, F., Yu, S., Muzaale, A.D., Segev, D.L., Liyanage, L., Crews, D.C., Brennan, D.C., El-Meanawy, A., Alqahtani, S., Atta, M.G., Levan, M.L., Caffo, B.S., Welling, P.A., Massie, A.B.","6503930901;57208648222;35739114000;6603757230;57205146424;24830017100;7103174842;8858459000;21741991200;7005733556;57219839438;35069047000;7005430624;56311894300;","Long-term kidney function and survival in recipients of allografts from living kidney donors with hypertension: a national cohort study",2021,"Transplant International","34","8",,"1530","1541",,1,"10.1111/tri.13947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109388213&doi=10.1111%2ftri.13947&partnerID=40&md5=e41574c9a56726c76a6711d83c7e06f4",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85109388213
"Shafer, A.T., Beason-Held, L., An, Y., Williams, O.A., Huo, Y., Landman, B.A., Caffo, B.S., Resnick, S.M.","54080377200;6602362913;15756851300;57206434731;56830058500;16679175200;35069047000;7102831381;","Default mode network connectivity and cognition in the aging brain: the effects of age, sex, and APOE genotype.",2021,"Neurobiology of Aging","104",,,"10","23",,4,"10.1016/j.neurobiolaging.2021.03.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105070369&doi=10.1016%2fj.neurobiolaging.2021.03.013&partnerID=40&md5=099a9901289a99601eef27bc52985f94",Article,"Final","",Scopus,2-s2.0-85105070369
"Powell, M., Koenecke, A., Byrd, J.B., Nishimura, A., Konig, M.F., Xiong, R., Mahmood, S., Mucaj, V., Bettegowda, C., Rose, L., Tamang, S., Sacarny, A., Caffo, B., Athey, S., Stuart, E.A., Vogelstein, J.T.","55544837400;57189976945;15051688900;57215861537;56174030900;57203393594;57226674249;57226664167;6505849268;57217525837;8919124500;57163730600;35069047000;6603691303;35410446500;15761214600;","Ten Rules for Conducting Retrospective Pharmacoepidemiological Analyses: Example COVID-19 Study",2021,"Frontiers in Pharmacology","12",,"700776","","",,,"10.3389/fphar.2021.700776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112063684&doi=10.3389%2ffphar.2021.700776&partnerID=40&md5=a910b94586ecf3db9cd943e7f77fa7cb",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85112063684
"Muschelli, J., Gherman, A., Fortin, J.-P., Avants, B., Whitcher, B., Clayden, J.D., Caffo, B.S., Crainiceanu, C.M.","40462056100;14421246100;56649768000;6602804684;9036352800;57202638198;35069047000;6603085071;","Corrigendum to: Neuroconductor: an R platform for medical imaging analysis",2021,"Biostatistics (Oxford, England)","22","3",,"685","",,,"10.1093/biostatistics/kxaa006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112126026&doi=10.1093%2fbiostatistics%2fkxaa006&partnerID=40&md5=94e20f964b8a8718eb1336bd0e80c718",Erratum,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85112126026
"Zhao, Y., Wang, B., Mostofsky, S.H., Caffo, B.S., Luo, X.","57202332071;57208720329;7003584880;35069047000;56639732500;","Covariate Assisted Principal regression for covariance matrix outcomes",2021,"Biostatistics (Oxford, England)","22","3",,"629","645",,4,"10.1093/biostatistics/kxz057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112125839&doi=10.1093%2fbiostatistics%2fkxz057&partnerID=40&md5=885e0e28992c35002405f628273d8ce3",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85112125839
"Koenecke, A., Powell, M., Xiong, R., Shen, Z., Fischer, N., Huq, S., Khalafallah, A.M., Trevisan, M., Sparen, P., Carrero, J.J., Nishimura, A., Caffo, B., Stuart, E.A., Bai, R., Staedtke, V., Thomas, D.L., Papadopoulos, N., Kinzler, K.W., Vogelstein, B., Zhou, S., Bettegowda, C., Konig, M.F., Mensh, B.D., Vogelstein, J.T., Athey, S.","57189976945;55544837400;57203393594;57218455033;57201131172;57200416913;57211456630;57195542244;7004206670;16834646800;57215861537;35069047000;35410446500;7103145340;36739928500;7403883317;55265279200;7102898858;36077704000;35365680400;6505849268;56174030900;6602770447;15761214600;6603691303;","Alpha-1 adrenergic receptor antagonists to prevent hyperinflammation and death from lower respiratory tract infection",2021,"eLife","10",,"e61700","","",,6,"10.7554/eLife.61700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108303848&doi=10.7554%2feLife.61700&partnerID=40&md5=119378add266e2514262ec912228fb5f",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85108303848
"Al-Khouja, A., Shieh, E., Fuchs, E.J., Marzinke, M.A., Bakshi, R.P., Hummert, P., Ham, A.S., Buckheit, K.W., Breakey, J., Weld, E.D., Chen, H., Caffo, B.S., Buckheit, R.W., Hendrix, C.W.","56303437500;57053064400;55487055800;25823249700;7101714682;57200579934;56691395200;35182411700;56955395000;35723219900;57219524107;35069047000;35426920600;57226252489;","Examining the Safety, Pharmacokinetics, and Pharmacodynamics of a Rectally Administered IQP-0528 Gel for HIV Pre-Exposure Prophylaxis: A First-In-Human Study",2021,"AIDS Research and Human Retroviruses","37","6",,"444","452",,4,"10.1089/aid.2020.0188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107524025&doi=10.1089%2faid.2020.0188&partnerID=40&md5=1b63b4e9eb4ca97ed42e1da8d4cdcf0a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85107524025
"Crasta, J.E., Raja, A.E., Caffo, B.S., Hluchan, C.M., Suskauer, S.J.","56392835000;57223929152;35069047000;57211666825;7801643293;","The Effect of Age and Competition Level on Subtle Motor Performance in Adolescents Medically Cleared Postconcussion: Preliminary Findings",2021,"American Journal of Physical Medicine and Rehabilitation","100","6",,"563","569",,3,"10.1097/PHM.0000000000001589","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106464150&doi=10.1097%2fPHM.0000000000001589&partnerID=40&md5=2fa95ffa323c515cbe506e95027a54dd",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85106464150
"Wang, Z., Sair, H.I., Crainiceanu, C., Lindquist, M., Landman, B.A., Resnick, S., Vogelstein, J.T., Caffo, B.","57202333724;14519858700;6603085071;7007030971;16679175200;7102831381;15761214600;35069047000;","On statistical tests of functional connectome fingerprinting",2021,"Canadian Journal of Statistics","49","1",,"63","88",,1,"10.1002/cjs.11591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101021135&doi=10.1002%2fcjs.11591&partnerID=40&md5=daa896965ca49c6f14d0dd45b0cac27e",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85101021135
"Faria, A.V., Zhao, Y., Ye, C., Hsu, J., Yang, K., Cifuentes, E., Wang, L., Mori, S., Miller, M., Caffo, B., Sawa, A.","35478593200;57202332071;56369884700;56937616300;56076756300;57521166600;35189933100;35418783800;35425199300;35069047000;7005376260;","Multimodal MRI assessment for first episode psychosis: A major change in the thalamus and an efficient stratification of a subgroup",2021,"Human Brain Mapping","42","4",,"1034","1053",,7,"10.1002/hbm.25276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098260577&doi=10.1002%2fhbm.25276&partnerID=40&md5=e32a8211139cef2cfdeeb7c003af818f",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85098260577
"Zhao, Y., Caffo, B., Luo, X.","57202332071;35069047000;56639732500;","Principal regression for high dimensional covariance matrices",2021,"Electronic Journal of Statistics","15","2",,"4192","4235",,,"10.1214/21-EJS1887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115150983&doi=10.1214%2f21-EJS1887&partnerID=40&md5=0779cfc56401a210ef6288637c5ff748",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85115150983
"Choe, A.S., Tang, B., Smith, K.R., Honari, H., Lindquist, M.A., Caffo, B.S., Pekar, J.J.","36908446600;57221339990;55489782900;57194219729;7007030971;35069047000;7003771238;","Phase-locking of resting-state brain networks with the gastric basal electrical rhythm",2021,"PLoS ONE","16","1 January","e0244756","","",,5,"10.1371/journal.pone.0244756","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099415509&doi=10.1371%2fjournal.pone.0244756&partnerID=40&md5=d169c54c794d4616b92ba3b21205da37",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85099415509
"Zhao, Y., Ficek, B., Webster, K., Frangakis, C., Caffo, B., Hillis, A.E., Faria, A., Tsapkini, K.","57202332071;56394402900;8734051000;7003829132;35069047000;7004956247;35478593200;6602810995;","White Matter Integrity Predicts Electrical Stimulation (tDCS) and Language Therapy Effects in Primary Progressive Aphasia",2021,"Neurorehabilitation and Neural Repair","35","1",,"44","57",,7,"10.1177/1545968320971741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097634087&doi=10.1177%2f1545968320971741&partnerID=40&md5=2a9f2fa3e48d20f80810888afa393975",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85097634087
"Zhao, Y., Caffo, B.S., Wang, B., Li, C.-S.R., Luo, X.","57202332071;35069047000;57208720329;8208349200;56639732500;","A whole-brain modeling approach to identify individual and group variations in functional connectivity",2021,"Brain and Behavior","11","1","e01942","","",,,"10.1002/brb3.1942","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096741221&doi=10.1002%2fbrb3.1942&partnerID=40&md5=63bed115350c323f1c9431fea2a6f807",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85096741221
"Jalilianhasanpour, R., Chen, H., Caffo, B., Johnson, P., Beheshtian, E., Yousem, D.M.","55814587600;57219804412;35069047000;35461661500;57204441866;7005911220;","Are Women Disadvantaged in Academic Radiology?",2020,"Academic Radiology","27","12",,"1760","1766",,7,"10.1016/j.acra.2020.09.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095579794&doi=10.1016%2fj.acra.2020.09.019&partnerID=40&md5=ef73532feab167f0585b5f438f0cbd68",Article,"Final","",Scopus,2-s2.0-85095579794
"Gherman, A., Muschelli, J., Caffo, B., Crainiceanu, C.","14421246100;40462056100;35069047000;6603085071;","Rxnat: An Open-Source R Package for XNAT-Based Repositories",2020,"Frontiers in Neuroinformatics","14",,"572068","","",,,"10.3389/fninf.2020.572068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096569004&doi=10.3389%2ffninf.2020.572068&partnerID=40&md5=098ed4108ef81aa0191a6c46bf1632f0",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85096569004
"Wu, D., Chang, L., Ernst, T.M., Caffo, B.S., Oishi, K.","36505233300;7404275168;7103353747;35069047000;7202376096;","Developmental score of the infant brain: characterizing diffusion MRI in term- and preterm-born infants",2020,"Brain Structure and Function","225","8",,"2431","2445",,,"10.1007/s00429-020-02132-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089445006&doi=10.1007%2fs00429-020-02132-4&partnerID=40&md5=99bd10ad7f56aa67a7266ee3f25dc117",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85089445006
"Bae, S., Massie, A.B., Caffo, B.S., Jackson, K.R., Segev, D.L.","56394953600;56311894300;35069047000;57201119942;6603757230;","Machine learning to predict transplant outcomes: helpful or hype? A national cohort study",2020,"Transplant International","33","11",,"1472","1480",,10,"10.1111/tri.13695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088557355&doi=10.1111%2ftri.13695&partnerID=40&md5=eae9a41abd4a10257d864517e3e0185f",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85088557355
"Mejia, A.F., Nebel, M.B., Wang, Y., Caffo, B.S., Guo, Y.","56215449300;34873055300;56681677100;35069047000;55712514500;","Template Independent Component Analysis: Targeted and Reliable Estimation of Subject-level Brain Networks Using Big Data Population Priors",2020,"Journal of the American Statistical Association","115","531",,"1151","1177",,11,"10.1080/01621459.2019.1679638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075361398&doi=10.1080%2f01621459.2019.1679638&partnerID=40&md5=dcab658910ab077132926067840ba546",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85075361398
"McAuliffe, D., Zhao, Y., Pillai, A.S., Ament, K., Adamek, J., Caffo, B.S., Mostofsky, S.H., Ewen, J.B.","57110108700;57202332071;7007067855;56295187800;57212586680;35069047000;7003584880;14007607000;","Learning of skilled movements via imitation in ASD",2020,"Autism Research","13","5",,"777","784",,11,"10.1002/aur.2253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077167731&doi=10.1002%2faur.2253&partnerID=40&md5=99732110990c68fa57704f693eebfae6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85077167731
"Zhang, T., Sun, Y., Li, H., Yan, G., Tanabe, S., Miao, R., Wang, Y., Caffo, B.S., Quigg, M.S.","55729066800;57195222450;57201404378;7202089770;57189013735;57212032976;57212038221;35069047000;7102799047;","Bayesian inference of a directional brain network model for intracranial EEG data",2020,"Computational Statistics and Data Analysis","144",,"106847","","",,,"10.1016/j.csda.2019.106847","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075799734&doi=10.1016%2fj.csda.2019.106847&partnerID=40&md5=939ff7d3443b4329ee67851648673ba6",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85075799734
"de Aguiar, V., Zhao, Y., Ficek, B.N., Webster, K., Rofes, A., Wendt, H., Frangakis, C., Caffo, B., Hillis, A.E., Rapp, B., Tsapkini, K.","56481545300;57202332071;56394402900;8734051000;55917698200;57208472244;7003829132;35069047000;7004956247;7006701639;6602810995;","Cognitive and language performance predicts effects of spelling intervention and tDCS in Primary Progressive Aphasia",2020,"Cortex","124",,,"66","84",,12,"10.1016/j.cortex.2019.11.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076287473&doi=10.1016%2fj.cortex.2019.11.001&partnerID=40&md5=4a3f102805adfa00744ac86a9d1cd998",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85076287473
"Zhao, Y., Lindquist, M.A., Caffo, B.S.","57202332071;7007030971;35069047000;","Sparse principal component based high-dimensional mediation analysis",2020,"Computational Statistics and Data Analysis","142",,"106835","","",,14,"10.1016/j.csda.2019.106835","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071832837&doi=10.1016%2fj.csda.2019.106835&partnerID=40&md5=e1a379c5aa7a34c224314a16fd170e3a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85071832837
