"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Mejia A.F.; Nebel M.B.; Barber A.D.; Choe A.S.; Pekar J.J.; Caffo B.S.; Lindquist M.A.","Mejia, Amanda F. (56215449300); Nebel, Mary Beth (34873055300); Barber, Anita D. (8582425200); Choe, Ann S. (36908446600); Pekar, James J. (7003771238); Caffo, Brian S. (35069047000); Lindquist, Martin A. (7007030971)","56215449300; 34873055300; 8582425200; 36908446600; 7003771238; 35069047000; 7007030971","Improved estimation of subject-level functional connectivity using full and partial correlation with empirical Bayes shrinkage","2018","NeuroImage","172","","","478","491","13","22","10.1016/j.neuroimage.2018.01.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041699592&doi=10.1016%2fj.neuroimage.2018.01.029&partnerID=40&md5=e365a0a5e01a0317a04955118d01249c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85041699592"
"Zhang T.; Sun Y.; Li H.; Yan G.; Tanabe S.; Miao R.; Wang Y.; Caffo B.S.; Quigg M.S.","Zhang, Tingting (55729066800); Sun, Yinge (57195222450); Li, Huazhang (57201404378); Yan, Guofen (7202089770); Tanabe, Seiji (57189013735); Miao, Ruizhong (57212032976); Wang, Yaotian (57212038221); Caffo, Brian S. (35069047000); Quigg, Mark S. (7102799047)","55729066800; 57195222450; 57201404378; 7202089770; 57189013735; 57212032976; 57212038221; 35069047000; 7102799047","Bayesian inference of a directional brain network model for intracranial EEG data","2020","Computational Statistics and Data Analysis","144","","106847","","","","2","10.1016/j.csda.2019.106847","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075799734&doi=10.1016%2fj.csda.2019.106847&partnerID=40&md5=939ff7d3443b4329ee67851648673ba6","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85075799734"
"Mejia A.F.; Bolin D.; Yue Y.R.; Wang J.; Caffo B.S.; Nebel M.B.","Mejia, Amanda F. (56215449300); Bolin, David (36146882600); Yue, Yu Ryan (35732830500); Wang, Jiongran (57219765944); Caffo, Brian S. (35069047000); Nebel, Mary Beth (34873055300)","56215449300; 36146882600; 35732830500; 57219765944; 35069047000; 34873055300","Template Independent Component Analysis with Spatial Priors for Accurate Subject-Level Brain Network Estimation and Inference","2023","Journal of Computational and Graphical Statistics","32","2","","413","433","20","0","10.1080/10618600.2022.2104289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139134280&doi=10.1080%2f10618600.2022.2104289&partnerID=40&md5=bdc1970a3a3e977b3f32c059adc5097a","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85139134280"
"Zhao Y.; Lindquist M.A.; Caffo B.S.","Zhao, Yi (57202332071); Lindquist, Martin A. (7007030971); Caffo, Brian S. (35069047000)","57202332071; 7007030971; 35069047000","Sparse principal component based high-dimensional mediation analysis","2020","Computational Statistics and Data Analysis","142","","106835","","","","24","10.1016/j.csda.2019.106835","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071832837&doi=10.1016%2fj.csda.2019.106835&partnerID=40&md5=e1a379c5aa7a34c224314a16fd170e3a","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85071832837"
"Kross S.; Peng R.D.; Caffo B.S.; Gooding I.; Leek J.T.","Kross, Sean (57191953476); Peng, Roger D. (8297055600); Caffo, Brian S. (35069047000); Gooding, Ira (55488736900); Leek, Jeffrey T. (8558142900)","57191953476; 8297055600; 35069047000; 55488736900; 8558142900","The Democratization of Data Science Education","2020","American Statistician","74","1","","1","7","6","22","10.1080/00031305.2019.1668849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074567757&doi=10.1080%2f00031305.2019.1668849&partnerID=40&md5=4efdeb74b140e1a57860f49f2542163a","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85074567757"
"Zhao Y.; Nebel M.B.; Caffo B.S.; Mostofsky S.H.; Rosch K.S.","Zhao, Yi (57223021058); Nebel, Mary Beth (34873055300); Caffo, Brian S. (35069047000); Mostofsky, Stewart H. (7003584880); Rosch, Keri S. (55695634800)","57223021058; 34873055300; 35069047000; 7003584880; 55695634800","Beyond Massive Univariate Tests: Covariance Regression Reveals Complex Patterns of Functional Connectivity Related to Attention-Deficit/Hyperactivity Disorder, Age, Sex, and Response Control","2022","Biological Psychiatry Global Open Science","2","1","","8","16","8","4","10.1016/j.bpsgos.2021.06.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126907854&doi=10.1016%2fj.bpsgos.2021.06.003&partnerID=40&md5=b6802512bbd792c7cd19e6e113b25081","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85126907854"
"Tang B.; Levine M.; Adamek J.H.; Wodka E.L.; Caffo B.S.; Ewen J.B.","Tang, Bohao (57221339990); Levine, Michael (57219957356); Adamek, Jack H. (57212586680); Wodka, Ericka L. (14632846000); Caffo, Brian S. (35069047000); Ewen, Joshua B. (14007607000)","57221339990; 57219957356; 57212586680; 14632846000; 35069047000; 14007607000","Evaluating causal psychological models: A study of language theories of autism using a large sample","2023","Frontiers in Psychology","14","","1060525","","","","1","10.3389/fpsyg.2023.1060525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149824200&doi=10.3389%2ffpsyg.2023.1060525&partnerID=40&md5=157167c56692ae184b4324701a8324b2","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85149824200"
"Nath T.; Caffo B.; Wager T.; Lindquist M.A.","Nath, Tanmay (57216889270); Caffo, Brian (35069047000); Wager, Tor (6603627020); Lindquist, Martin A. (7007030971)","57216889270; 35069047000; 6603627020; 7007030971","A machine learning based approach towards high-dimensional mediation analysis","2023","NeuroImage","268","","119843","","","","3","10.1016/j.neuroimage.2022.119843","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147782916&doi=10.1016%2fj.neuroimage.2022.119843&partnerID=40&md5=40730196765517e94192b45a38c7a647","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147782916"
"McCoy R.G.; Ngufor C.; Van Houten H.K.; Caffo B.; Shah N.D.","McCoy, Rozalina G. (55293516000); Ngufor, Che (36802355600); Van Houten, Holly K. (8709515400); Caffo, Brian (35069047000); Shah, Nilay D. (35249316000)","55293516000; 36802355600; 8709515400; 35069047000; 35249316000","Trajectories of Glycemic Change in a National Cohort of Adults with Previously Controlled Type 2 Diabetes","2017","Medical Care","55","11","","956","964","8","15","10.1097/MLR.0000000000000807","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031817336&doi=10.1097%2fMLR.0000000000000807&partnerID=40&md5=dbbd747981ad7efa6c7755c19ec9a688","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85031817336"
"Huang Q.; Tang B.; Romero J.C.; Yang Y.; Elsayed S.K.; Pahapale G.; Lee T.-J.; Pantoja I.E.M.; Han F.; Berlinicke C.; Xiang T.; Solazzo M.; Hartung T.; Qin Z.; Caffo B.S.; Smirnova L.; Gracias D.H.","Huang, Qi (57206683147); Tang, Bohao (57221339990); Romero, July Carolina (57201298431); Yang, Yuqian (57218189194); Elsayed, Saifeldeen Khalil (57846009800); Pahapale, Gayatri (57211977831); Lee, Tien-Jung (57846236000); Pantoja, Itzy E. Morales (57211919984); Han, Fang (55377043500); Berlinicke, Cynthia (26535546900); Xiang, Terry (57845785600); Solazzo, Mallory (57847115100); Hartung, Thomas (7005429459); Qin, Zhao (31367553500); Caffo, Brian S. (35069047000); Smirnova, Lena (55694387200); Gracias, David H. (6701384299)","57206683147; 57221339990; 57201298431; 57218189194; 57846009800; 57211977831; 57846236000; 57211919984; 55377043500; 26535546900; 57845785600; 57847115100; 7005429459; 31367553500; 35069047000; 55694387200; 6701384299","Shell microelectrode arrays (MEAs) for brain organoids","2022","Science Advances","8","33","eabq5031","","","","32","10.1126/sciadv.abq5031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136045593&doi=10.1126%2fsciadv.abq5031&partnerID=40&md5=e898cbcd832e0918ecb11c4b03258017","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85136045593"
"Al Ammary F.; Yu S.; Muzaale A.D.; Segev D.L.; Liyanage L.; Crews D.C.; Brennan D.C.; El-Meanawy A.; Alqahtani S.; Atta M.G.; Levan M.L.; Caffo B.S.; Welling P.A.; Massie A.B.","Al Ammary, Fawaz (6503930901); Yu, Sile (57208648222); Muzaale, Abimereki D. (35739114000); Segev, Dorry L. (6603757230); Liyanage, Luckmini (57205146424); Crews, Deidra C. (24830017100); Brennan, Daniel C. (7103174842); El-Meanawy, Ashraf (8858459000); Alqahtani, Saleh (21741991200); Atta, Mohamed G. (7005733556); Levan, Macey L. (57219839438); Caffo, Brian S. (35069047000); Welling, Paul A. (7005430624); Massie, Allan B. (56311894300)","6503930901; 57208648222; 35739114000; 6603757230; 57205146424; 24830017100; 7103174842; 8858459000; 21741991200; 7005733556; 57219839438; 35069047000; 7005430624; 56311894300","Long-term kidney function and survival in recipients of allografts from living kidney donors with hypertension: a national cohort study","2021","Transplant International","34","8","","1530","1541","11","3","10.1111/tri.13947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109388213&doi=10.1111%2ftri.13947&partnerID=40&md5=e41574c9a56726c76a6711d83c7e06f4","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85109388213"
